,i,year,month,acyear,title,category,inst,instclass,url
39,39,2003,10,2003,Postdoctoral Fellowship in Astrophysics - JRID20835,PostV,Princeton University,Large Academic,../job_view?JobID=20835
40,40,2003,10,2003,Postdoctoral Research Scientist - JRID20832,PostV,Lowell Observatory,Other,../job_view?JobID=20832
41,41,2012,10,2012,PhD position in astronomy - JRID43204,Pre-doctoral/Graduate Positions,Radboud University Nijmegen,Large Academic,../job_view?JobID=43204
42,42,2012,10,2012,Postdoctoral position in astronomy - JRID43206,Post-doctoral Positions and Fellowships,Radboud University Nijmegen,Large Academic,../job_view?JobID=43206
43,43,2003,10,2003,Postdoctoral Fellowship in Astrophysics - JRID20838,PostV,Princeton University,Large Academic,../job_view?JobID=20838
44,44,2012,10,2012,"Faculty position, FINCA, University of Turku, Finland - JRID43201",Faculty Positions (tenure and tenure-track),"Finnish Centre for Astronomy with ESO (FINCA), University of Turku, Finland",Foreign,../job_view?JobID=43201
45,45,2007,10,2007,Assistant Professor of Physics - JRID29790,TT,Siena College,Foreign,../job_view?JobID=29790
46,46,2009,11,2009,"PhD positions in high-redshift galaxy evolution, quasars, supermassive black holes, quasar-host galaxy evolution, reionization, gamma-ray bursts, dark matter, cosmic dust, clusters of galaxies and gravitational lensing - JRID35565",Pre-doctoral/Graduate Positions,"Dark Cosmology Centre, Niels Bohr Instit",Foreign,../job_view?JobID=35565
47,47,2011,3,2010,Catolica Postdoctoral Fellowships - JRID39027,Post-doctoral Positions and Fellowships,Pontificia Universidad Catolica de Chile,Foreign,../job_view?JobID=39027
48,48,2011,3,2010,NGVS-IR Postdoc - JRID39021,Post-doctoral Positions and Fellowships,DPTO. Astronomia y Astrofisica - Pontificia Universidad Catolica de Chile,Foreign,../job_view?JobID=39021
49,49,2004,5,2003,Postdoctoral Research Associate in Star Formation Studies - JRID22293,PostV,"Astrophysics Group, University of Cambri",Foreign,../job_view?JobID=22293
50,50,2004,5,2003,Research Associate/Small Bodies Research Group - JRID22290,MngOth,University of Maryland,Large Academic,../job_view?JobID=22290
51,51,2004,5,2003,"High-Energy Astrophysics Discipline Scientist, Optical/Ultraviolet Astrophysics Discipline Scientist, Astrophysical Theory Discipline Scientist - JRID22296",Other,National Aeronautics and Space Administr,Government Agency,../job_view?JobID=22296
52,52,2009,11,2009,Faculty Position in Cosmology/Space Science - JRID35562,Faculty Positions (tenure and tenure-track),Institute for the Early Universe/Ewha Un,Foreign,../job_view?JobID=35562
53,53,2015,9,2015,2016 Hubble Postdoctoral Fellowship Program - JRID51774,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Other,../job_view?JobID=51774
54,54,2004,5,2003,Catalog Astronomer - JRID22299,Rsrch,California Institute of Technology,Small Academic,../job_view?JobID=22299
55,55,2009,1,2008,Undergraduate Observatory Astronomical Engineer - JRID33738,Scientific/Technical Staff,UC Berkeley,Large Academic,../job_view?JobID=33738
56,56,2011,11,2011,Postdoctoral position in X-ray astrophysics - JRID40922,Post-doctoral Positions and Fellowships,Wayne State University,Large Academic,../job_view?JobID=40922
57,57,2009,1,2008,Tenure-track  faculty position in Astronomy (Exoplanets) - JRID33732,Faculty Positions (tenure and tenure-track),Lund Observatory,Foreign,../job_view?JobID=33732
58,58,2009,1,2008,Research Associate - Adaptive Optics (AO) - JRID33735,Post-doctoral Positions and Fellowships,Herzberg Institute of Astrophysics (HIA),Government Agency,../job_view?JobID=33735
59,59,2005,10,2005,Tenure - Track Research Position - JRID25248,TT,Lowell Observatory,Other,../job_view?JobID=25248
60,60,2009,11,2009,Postdoctoral Research Appointment in Wide Field Survey Astronomy - JRID35568,Post-doctoral Positions and Fellowships,Institute of Astronomy,Foreign,../job_view?JobID=35568
61,61,2005,10,2005,Tenure Track Faculty Position in High Energy Astrophysics - JRID25242,TT,Purdue University,Large Academic,../job_view?JobID=25242
62,62,2004,7,2004,Optical Astronomer/Scientific programmers in support of OmegaCAM and ASTRO-WISE Wide field imaging at Kapteyn - JRID22479,Rsrch,"Kapteyn Institute, University of Groning",Large Academic,../job_view?JobID=22479
63,63,2004,7,2004,Research Associate: MERLIN/VLBI Scientist (Ref: 600/04) - JRID22476,PostV,University of Manchester,Foreign,../job_view?JobID=22476
64,64,2006,9,2006,Astrophysics - JRID27117,TT,University of Pennsylvania,Large Academic,../job_view?JobID=27117
65,65,2006,9,2006,CMB Polarization and/or SZ survey Data Analysis PDRA - JRID27114,PostV,Cardiff University,Foreign,../job_view?JobID=27114
66,66,2015,9,2015,James Webb Space Telescope Postdoctoral Fellowships at NASA’s Goddard Space Flight Center - JRID51594,Post-doctoral Positions and Fellowships,NASA's Goddard Space Flight Center,Government Agency,../job_view?JobID=51594
67,67,2004,7,2004,PAN-STARRS Observatory &amp; Telescope System OATS Software Engineer - JRID22473,Rsrch,Institute for Astronomy,Other,../job_view?JobID=22473
68,68,2004,7,2004,Project Scientist for the WIYN One Degree Imager - JRID22470,Other,WIYN Observatory,Other,../job_view?JobID=22470
69,69,2006,9,2006,CARMA Support Scientist - JRID27111,RsrchSp,California Institute of Technology,Small Academic,../job_view?JobID=27111
70,70,2003,12,2003,Visiting Assitant Professor - JRID21408,NTT,Colorado College,Small Academic,../job_view?JobID=21408
71,71,2007,5,2006,Director of the Radio Observatory LOFAR and WSRT - JRID28938,MngOth,ASTRON,Foreign,../job_view?JobID=28938
72,72,2003,12,2003,"Education &amp; Public Outreach Program Manager, Phoenix Mars Mission - JRID21402",MngOth,University of Arizona,Large Academic,../job_view?JobID=21402
73,73,2016,3,2015,Computational Cosmology Postdoctoral Fellow - JRID53734,Post-doctoral Positions and Fellowships,Lawrence Berkeley National Laboratory,Research Laboratory,../job_view?JobID=53734
74,74,2016,3,2015,NRAO-Scientific Data Analyst - JRID53730,Scientific/Technical Staff,The National Radio Astronomy Observatory,Research Laboratory,../job_view?JobID=53730
75,75,2003,12,2003,Postdoc in Experimental Particle/Astrophysics - JRID21405,PostV,Case Western Reserve University,Large Academic,../job_view?JobID=21405
76,76,2003,11,2003,"Assistant Professor, Tenure Track: Planetary Science - JRID21312",TT,"University of California, Santa Cruz",Large Academic,../job_view?JobID=21312
77,77,2008,11,2008,Post-doctoral Research Associates in Cosmology (Two Positions) - JRID33348,Post-doctoral Positions and Fellowships,University College London (UCL),Foreign,../job_view?JobID=33348
78,78,2012,9,2012,CITA National Fellowship - JRID42422,Post-doctoral Positions and Fellowships,Various Canadian Universities,Large Academic,../job_view?JobID=42422
79,79,2008,12,2008,Postdoctoral Fellow in Cosmology / General Relativity - JRID33342,Post-doctoral Positions and Fellowships,University of Canterbury,Foreign,../job_view?JobID=33342
80,80,2016,1,2015,Beecroft Fellowship in Experimental Particle Physics and Cosmology  - JRID53427,Post-doctoral Positions and Fellowships,"University of Oxford, Particle Physics",Large Academic,../job_view?JobID=53427
81,81,2009,6,2009,Research Associate in Neutron Star Astrophysics - JRID34425,Post-doctoral Positions and Fellowships,West Virginia University,Large Academic,../job_view?JobID=34425
82,82,2015,10,2015,Queue Observer (Two positions available) - JRID52028,Scientific/Technical Staff,MMT Observatory,Other,../job_view?JobID=52028
83,83,2007,7,2007,System Support Associate - JRID29229,Other,Gemini Observatory,Other,../job_view?JobID=29229
84,84,2007,7,2007,Assistant Astronomer/Post-Doctoral Fellow - JRID29226,PostV,Wesleyan University,Foreign,../job_view?JobID=29226
85,85,2016,1,2015,Postdoctoral position in computational astrophysics  - JRID53421,Post-doctoral Positions and Fellowships,University of Cologne,Large Academic,../job_view?JobID=53421
86,86,2006,4,2005,Instrumentation Specialist - JRID26571,Other,"Astronomical Consultants &amp; Equipment, In",Foreign,../job_view?JobID=26571
87,87,2015,10,2015,Postdoctoral Position in Exoplanet Theory - JRID52025,Post-doctoral Positions and Fellowships,University of Chicago,Large Academic,../job_view?JobID=52025
88,88,2006,5,2005,Postdoctoral position in high energy astrophysics - JRID26577,PostV,"CESR, Toulouse, France",Foreign,../job_view?JobID=26577
89,89,2007,7,2007,Software Developer - JRID29223,Other,Stanford Linear Accelerator Center,Government Agency,../job_view?JobID=29223
90,90,2007,7,2007,Engineering Physicist - JRID29220,Other,Stanford Linear Accelerator Center,Government Agency,../job_view?JobID=29220
91,91,2006,4,2005,XMM-Newton Postdoctoral position in X-ray Astronomy - JRID26574,PostV,Centre d'Etude Spatiale des Rayonnements,Foreign,../job_view?JobID=26574
92,92,2016,1,2015,PhD position in computational astrophysics at the University of Cologne - JRID53423,Pre-doctoral/Graduate Positions,University of Cologne,Large Academic,../job_view?JobID=53423
93,93,2003,11,2003,Postdoctoral Research Position - Star Formation - JRID21315,PostV,University of Michigan,Large Academic,../job_view?JobID=21315
94,94,2014,1,2013,"Executive Director, Space Science Institute - JRID47328",Science Management,Space Science Institute,Other,../job_view?JobID=47328
95,95,2014,2,2013,Postdoctoral Position on High-Angular Resolution Studies of Protoplanetary Disks - JRID47457,Post-doctoral Positions and Fellowships,University of Exeter,Large Academic,../job_view?JobID=47457
96,96,2014,1,2013,SCExAO Postdoctoral Research Fellow - ID# 13716 - JRID47324,Post-doctoral Positions and Fellowships,Research Corporation of the University of Hawaii,Other,../job_view?JobID=47324
97,97,2003,11,2003,Postdoc in Astrophysics of Gravitational Wave Sources - JRID21318,PostV,The Pennsylvania State University,Large Academic,../job_view?JobID=21318
98,98,2014,1,2013,Tenure-track professorship Universidad de Concepcion - JRID47321,Faculty Positions (tenure and tenure-track),Universidad de Concepcion,Large Academic,../job_view?JobID=47321
99,99,2016,1,2015,Post-doctoral position on Gamma-Ray Burst host galaxies and star formation - JRID53191,Post-doctoral Positions and Fellowships,"Laboratory of Excellence UnivEarthS - CEA, France",Research Laboratory,../job_view?JobID=53191
100,100,2006,12,2006,Astronomy/Astrophysics - JRID28248,Rsrch,Physical Research Laboratory,Foreign,../job_view?JobID=28248
101,101,2015,12,2015,Visiting Assistant Professor - Physics and Astronomy - Two Positions 0406977  - JRID53198,Faculty Positions (visiting and non-tenure),James Madison University,Large Academic,../job_view?JobID=53198
102,102,2006,12,2006,Beatrice Watson Parrent Fellowship Postdoctoral Fellowship ID#26485 - JRID28245,PostV,Research Corporation of the University o,Government Agency,../job_view?JobID=28245
103,103,2006,12,2006,Postdoctoral Researcher in Supernova Remnants/Star Formation/ISM Studies - JRID28242,PostV,California Institute of Technology/Spitz,Small Academic,../job_view?JobID=28242
104,104,2010,8,2010,Head of the ALMA Computing Team - JRID37080,Scientific/Technical Staff,ESO - European Organisation for Astronom,Foreign,../job_view?JobID=37080
105,105,2010,8,2010,Senior Lecturer/Lecturer in Observational Astronomy - JRID37086,Faculty Positions (tenure and tenure-track),"University of Cape Town, South Africa",Large Academic,../job_view?JobID=37086
106,106,2010,8,2010,Postdoctoral Research Position at the IRAM node of the European ALMA Regional Center - JRID37089,Post-doctoral Positions and Fellowships,IRAM,Foreign,../job_view?JobID=37089
107,107,2010,10,2010,Data Process Developer - JRID37734,Scientific/Technical Staff,Gemini Observatory,Other,../job_view?JobID=37734
108,108,2010,10,2010,Postdoctoral position in radio astronomical instrumentation - JRID37731,Post-doctoral Positions and Fellowships,Stanford University/KIPAC,Foreign,../job_view?JobID=37731
109,109,2015,12,2015,Postdoctoral position in Galactic stellar populations - JRID52993,Post-doctoral Positions and Fellowships,Universidad Catolica del Norte,Large Academic,../job_view?JobID=52993
110,110,2005,6,2005,Data Mining Applications Scientist - JRID24591,PostV,University of Edinburgh,Foreign,../job_view?JobID=24591
111,111,2005,6,2005,Postdoctoral Fellows in Radio Astronomy - JRID24597,PostV,University of New Mexico,Large Academic,../job_view?JobID=24597
112,112,2005,6,2005,Postdoctoral Opportunity/ Planetary Formation and Dynamics - JRID24594,PostV,University of Colorado at Boulder,Large Academic,../job_view?JobID=24594
113,113,2005,7,2005,Research Scientist - JRID24624,Rsrch,Jet Propulsion Laboratory,Government Agency,../job_view?JobID=24624
114,114,2005,7,2005,Assistant Professor (Tenure-Track) of Astronomy - JRID24627,TT,Franklin and Marshall College,Small Academic,../job_view?JobID=24627
115,115,2006,12,2006,Homer L. Dodge Endowed Chair in Astronomy and Astrophysics - JRID28068,TT,University of Oklahoma,Large Academic,../job_view?JobID=28068
116,116,2005,7,2005,Postdoctoral position - NIR Instrumentation - JRID24621,PostV,1. Physikalisches Institut der Universit,Foreign,../job_view?JobID=24621
117,117,2015,11,2015,Observational Postdoctoral Position - JRID52508,Post-doctoral Positions and Fellowships,University of Illinois @ Urbana-Champaign,Large Academic,../job_view?JobID=52508
118,118,2007,4,2006,Postdoctoral Position in Astronomy/Astrophysics and Computer Cluster Administration - JRID28791,PostV,Northwestern University,Large Academic,../job_view?JobID=28791
119,119,2006,11,2006,Theory Staff Position (tenure-track/tenured) - JRID28062,MngOth,Max-Planck-Institute for Astronomy,Large Academic,../job_view?JobID=28062
120,120,2007,4,2006,Postdoctoral Scholar - JRID28794,Rsrch,University of California San Diego,Large Academic,../job_view?JobID=28794
121,121,2006,12,2006,Postdoctoral Positions - JRID28065,PostV,Korea Astronomy and Space Science Instit,Research Laboratory,../job_view?JobID=28065
122,122,2010,11,2010,Stromlo Fellow 2011 - JRID38250,Post-doctoral Positions and Fellowships,"Australian National University, Research",Foreign,../job_view?JobID=38250
123,123,2010,11,2010,Science support postdoc for ALMA Early Science - JRID38253,Post-doctoral Positions and Fellowships,Leiden Observatory,Foreign,../job_view?JobID=38253
124,124,2011,1,2010,Post-doctoral positions in Galaxy Formation and Evolution - JRID38709,Post-doctoral Positions and Fellowships,"Observatoire de Paris, LERMA",Foreign,../job_view?JobID=38709
125,125,2010,11,2010,Postdoctoral Positions Exploration Fellowship Program - JRID38256,Post-doctoral Positions and Fellowships,School of Earth and Space Exploration,Large Academic,../job_view?JobID=38256
126,126,2010,11,2010,Sophie and Tycho Brahe Postdoctoral Fellowship in Astrophysics - JRID38259,Post-doctoral Positions and Fellowships,Niels Bohr Institute (Dark Cosmology Cen,Foreign,../job_view?JobID=38259
127,127,2009,5,2008,Solar Astronomer - JRID34287,Scientific/Technical Staff,National Solar Observatory,Other,../job_view?JobID=34287
128,128,2009,4,2008,Astronomy &amp; Physics Lecturer - JRID34284,Faculty Positions (visiting and non-tenure),University of Nebraska-Lincoln,Large Academic,../job_view?JobID=34284
129,129,2012,12,2012,LEDA 21cm Cosmology - JRID44084,Post-doctoral Positions and Fellowships,Harvard College Observatory,Large Academic,../job_view?JobID=44084
130,130,2011,1,2010,Post-Doctoral Fellowships - JRID38703,Post-doctoral Positions and Fellowships,National Centre for Radio Astrophysics-T,Foreign,../job_view?JobID=38703
131,131,2009,5,2008,Postdoctoral Position for Low Frequency Cosmology (LUNAR Fellow) - JRID34281,Post-doctoral Positions and Fellowships,Naval Research Laboratory,Government Agency,../job_view?JobID=34281
132,132,2015,7,2015,"Postdoctoral Research Scientist, NASA Exoplanet Exploration Program - JRID51234",Other,Bay Area Environmental Research Institute,Other,../job_view?JobID=51234
133,133,2014,1,2013,Post doctoral fellow - JRID46498,Post-doctoral Positions and Fellowships,Tel Aviv University,Large Academic,../job_view?JobID=46498
134,134,2010,10,2010,Postdoctoral Fellow in Astrophysics - JRID37881,Post-doctoral Positions and Fellowships,American Museum of Natural History,Planetarium,../job_view?JobID=37881
135,135,2012,9,2012,Lecturer / Senior Lecturer - JRID42664,Faculty Positions (tenure and tenure-track),"ICG, University of Portsmouth",Large Academic,../job_view?JobID=42664
136,136,2010,10,2010,Post-Doctoral Positions in Astronomy and Astrophysics - JRID37551,Post-doctoral Positions and Fellowships,Inter-University Centre for Astronomy an,Foreign,../job_view?JobID=37551
137,137,2013,11,2013,Postdoctoral position in exoplanets for the preparation of the CHEOPS space mission  - JRID46495,Post-doctoral Positions and Fellowships,Laboratoire d'Astrophysique de Marseille,Government Agency,../job_view?JobID=46495
138,138,2010,10,2010,Two Professorships in Experimental Physics (Astroparticle Physics) - JRID37557,Faculty Positions (tenure and tenure-track),University of Erlangen-Nuremberg,Foreign,../job_view?JobID=37557
139,139,2010,11,2010,"Postdoctoral Associate in Radio, Optical, or mm Astronomy - JRID37884",Post-doctoral Positions and Fellowships,Naval Research Laboratory,Government Agency,../job_view?JobID=37884
140,140,2010,10,2010,Postdoctoral Researchers in Cosmology - JRID37554,Post-doctoral Positions and Fellowships,Institute for the Early Universe,Foreign,../job_view?JobID=37554
141,141,2009,11,2009,Research Associate/Research Assistant Professor Science and Software Tools (ICRAR Reference: 2943) - JRID35778,Post-doctoral Positions and Fellowships,International Centre for Radio Astronomy,Foreign,../job_view?JobID=35778
142,142,2015,4,2014,MSE Systems Scientist - JRID50945,Science Engineering,Canada-France-Hawaii Telescope,Research Laboratory,../job_view?JobID=50945
143,143,2009,11,2009,Research Professor/Research Winthrop Professor Astronomy and Astrophysics (ICRAR Reference: 2940) - JRID35772,Faculty Positions (tenure and tenure-track),International Centre for Radio Astronomy,Foreign,../job_view?JobID=35772
144,144,2009,11,2009,Research Associate Professor Astronomy and Astrophysics  (ICRAR Reference: 2941) - JRID35775,Faculty Positions (tenure and tenure-track),International Centre for Radio Astronomy,Foreign,../job_view?JobID=35775
145,145,2011,4,2010,User Support Astronomer - JRID39254,Faculty Positions (tenure and tenure-track),ESO-European Southern Observatory,Foreign,../job_view?JobID=39254
146,146,2009,11,2009,FACULTY POSITION IN ASTROPHYSICS - JRID35481,Faculty Positions (tenure and tenure-track),Universidad de Chile,Foreign,../job_view?JobID=35481
147,147,2009,11,2009,Postdoctoral Position in Galaxy Cluster Astrophysics - JRID35487,Post-doctoral Positions and Fellowships,Michigan State University,Large Academic,../job_view?JobID=35487
148,148,2009,11,2009,"Faculty Positions in Instrumentation, Observation, Or Theory - JRID35484",Faculty Positions (tenure and tenure-track),"Institute of Astronomy and Astrophysics,",Government Agency,../job_view?JobID=35484
149,149,2014,7,2014,NRES Instrument Scientist - JRID48432,Scientific/Technical Staff,Las Cumbres Observatory Global Telescope Network,Other,../job_view?JobID=48432
150,150,2015,11,2015,Postdoctoral Position studying Galaxy Nuclei - JRID52504,Post-doctoral Positions and Fellowships,University of Utah,Large Academic,../job_view?JobID=52504
151,151,2013,9,2013,Scientific Software Engineer  - JRID45368,Science Engineering,Observatoire de Paris/Besançon,Research Laboratory,../job_view?JobID=45368
152,152,2012,4,2011,Postdoctoral Research Fellowship in Computational Astrophysics - JRID41868,Post-doctoral Positions and Fellowships,University of Oslo,Foreign,../job_view?JobID=41868
153,153,2012,1,2011,Four Postdoc positions at Yonsei University - JRID41319,Post-doctoral Positions and Fellowships,Yonsei University Astronomy,Foreign,../job_view?JobID=41319
154,154,2012,2,2011,Postdoctoral position in computational star formation (2 years) - JRID41648,Post-doctoral Positions and Fellowships,LERMA - ENS Paris,Large Academic,../job_view?JobID=41648
155,155,2012,1,2011,"Postdoctoral positions at the Center for Gravitation, Cosmology and Astrophysics at UW-Milwaukee - JRID41314",Post-doctoral Positions and Fellowships,University of Wisconsin - Milwaukee,Large Academic,../job_view?JobID=41314
156,156,2006,9,2006,"Chandra Postdoctoral Fellowships, Chandra X-Ray Center - JRID26994",PostV,Smithsonian Astrophysical Observatory,Large Academic,../job_view?JobID=26994
157,157,2006,8,2006,"Assistant Professor, Astronomy and Astrophysics - JRID26997",TT,"University of California, Santa Cruz",Large Academic,../job_view?JobID=26997
158,158,2015,11,2015,IGRINS Postdoctoral Fellow - JRID52506,Post-doctoral Positions and Fellowships,Department of Astronomy / The University of Texas at Austin,Large Academic,../job_view?JobID=52506
